"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-08-31T12:14:48Z"
"Version","20260831121448"
"OfferCode","AWSDataTransfer"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","From Region Code","serviceName","To Region Code"
"4JSKH8FSN5ASHQPW","JRTCKXETXF","4JSKH8FSN5ASHQPW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of EU (London) to CloudFront","2026-06-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer","InterRegion Outbound","EU (London)","AWS Region","Amazon CloudFront","AWS Edge Location","EUW2-CloudFront-Out-Bytes","","eu-west-2","AWS Data Transfer",""
"6VMMMYUXJN87WBSX","JRTCKXETXF","6VMMMYUXJN87WBSX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - regional data transfer - in/out/between EC2 Azs or using elastic IPs or ELB","2026-06-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer","IntraRegion-xAZ-Out","EU (London)","AWS Region","EU (London)","AWS Region","EUW2-DataTransfer-xAZ-Out-Bytes","","eu-west-2","AWS Data Transfer","eu-west-2"
"PB257JUQ8U6E6UPM","A429C66SYZ","PB257JUQ8U6E6UPM.A429C66SYZ.ETY2894C67","OnDemand","$0 for 100GB of data transfer out to the internet, aggregated globally, each month","2026-06-01","0","100","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer","AWS Outbound","Global","AWS Region","External","Other","Global-DataTransfer-Out-Bytes","","","AWS Data Transfer",""
"QZ73H5RGR5JYYB4D","JRTCKXETXF","QZ73H5RGR5JYYB4D.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier","2026-06-01","0","10240","GB","0.0900000000","USD","PB257JUQ8U6E6UPM","Data Transfer","AWSDataTransfer","AWS Outbound","EU (London)","AWS Region","External","Other","EUW2-DataTransfer-Out-Bytes","","eu-west-2","AWS Data Transfer",""
"QZ73H5RGR5JYYB4D","JRTCKXETXF","QZ73H5RGR5JYYB4D.JRTCKXETXF.VF6T3GAUKQ","OnDemand","$0.085 per GB - next 40 TB / month data transfer out","2026-06-01","10240","51200","GB","0.0850000000","USD","PB257JUQ8U6E6UPM","Data Transfer","AWSDataTransfer","AWS Outbound","EU (London)","AWS Region","External","Other","EUW2-DataTransfer-Out-Bytes","","eu-west-2","AWS Data Transfer",""
"QZ73H5RGR5JYYB4D","JRTCKXETXF","QZ73H5RGR5JYYB4D.JRTCKXETXF.N9EW5UVVPA","OnDemand","$0.070 per GB - next 100 TB / month data transfer out","2026-06-01","51200","153600","GB","0.0700000000","USD","PB257JUQ8U6E6UPM","Data Transfer","AWSDataTransfer","AWS Outbound","EU (London)","AWS Region","External","Other","EUW2-DataTransfer-Out-Bytes","","eu-west-2","AWS Data Transfer",""
"QZ73H5RGR5JYYB4D","JRTCKXETXF","QZ73H5RGR5JYYB4D.JRTCKXETXF.GPHXDESFBB","OnDemand","$0.050 per GB - greater than 150 TB / month data transfer out","2026-06-01","153600","Inf","GB","0.0500000000","USD","PB257JUQ8U6E6UPM","Data Transfer","AWSDataTransfer","AWS Outbound","EU (London)","AWS Region","External","Other","EUW2-DataTransfer-Out-Bytes","","eu-west-2","AWS Data Transfer",""
"TZSWRRM2EWTHHHRZ","JRTCKXETXF","TZSWRRM2EWTHHHRZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (London) data transfer to EU (Ireland)","2026-06-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer","InterRegion Outbound","EU (London)","AWS Region","EU (Ireland)","AWS Region","EUW2-EU-AWS-Out-Bytes","","eu-west-2","AWS Data Transfer","eu-west-1"
"U7M39C97M5XGPWHJ","JRTCKXETXF","U7M39C97M5XGPWHJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2026-06-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer","AWS Inbound","External","Other","EU (London)","AWS Region","EUW2-DataTransfer-In-Bytes","","","AWS Data Transfer","eu-west-2"
"UFS3N56WEYYKUV47","A429C66SYZ","UFS3N56WEYYKUV47.A429C66SYZ.8EEUB22XNJ","OnDemand","$0.000 per GB - regional data transfer under the monthly global free tier","2026-06-01","0","1","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer","IntraRegion","Global","AWS Region","Global","AWS Region","Global-DataTransfer-Regional-Bytes","","","AWS Data Transfer",""
