"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-08-31T09:22:55Z"
"Version","20260831092255"
"OfferCode","AWSELB"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"2RGDRMA7MQDFVP3E","JRTCKXETXF","2RGDRMA7MQDFVP3E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0059 per associated Application load balancer Trust Store unit-hour ","2026-08-01","0","Inf","Hrs","0.0059000000","USD","Load Balancer-Application","AWSELB","EU (London)","AWS Region","ELB:Balancing","TS hourly usage by Application Load Balancer","EUW2-TS-LoadBalancerUsage","LoadBalancing:Application","eu-west-2","Elastic Load Balancing"
"4JNUM33CC5S93JSG","JRTCKXETXF","4JNUM33CC5S93JSG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0084 per GB Data Processed by the LoadBalancer","2026-08-01","0","Inf","GB","0.0084000000","USD","Load Balancer","AWSELB","EU (London)","AWS Region","ELB:Balancing","Data processed by Classic Load Balancer","EUW2-DataProcessing-Bytes","LoadBalancing","eu-west-2","Elastic Load Balancing"
"6AP766DZF74JPTE2","JRTCKXETXF","6AP766DZF74JPTE2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02646 per Application LoadBalancer-hour (or partial hour)","2026-08-01","0","Inf","Hrs","0.0264600000","USD","Load Balancer-Application","AWSELB","EU (London)","AWS Region","ELB:Balancing","LoadBalancer hourly usage by Application Load Balancer","EUW2-LoadBalancerUsage","LoadBalancing:Application","eu-west-2","Elastic Load Balancing"
"7Q2AVZPE98EB8X3J","JRTCKXETXF","7Q2AVZPE98EB8X3J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02646 per Hrs for Outposts-LoadBalancerUsage:LoadBalancing:Application in EU (London)","2026-08-01","0","Inf","Hrs","0.0264600000","USD","Load Balancer-Application","AWSELB","EU (London)","AWS Outposts","ELB:Balancing","LoadBalancer hourly usage by Application Load Balancer on Outposts","EUW2-Outposts-LoadBalancerUsage","LoadBalancing:Application","eu-west-2","Elastic Load Balancing"
"922QC3D66T3QU9QK","JRTCKXETXF","922QC3D66T3QU9QK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0294 per LoadBalancer-hour (or partial hour)","2026-08-01","0","Inf","Hrs","0.0294000000","USD","Load Balancer","AWSELB","EU (London)","AWS Region","ELB:Balancing","LoadBalancer hourly usage by Classic Load Balancer","EUW2-LoadBalancerUsage","LoadBalancing","eu-west-2","Elastic Load Balancing"
"D4JRRS3AFPHRV7RF","JRTCKXETXF","D4JRRS3AFPHRV7RF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0084 per used Application load balancer capacity unit-hour (or partial hour)","2026-08-01","0","Inf","LCU-Hrs","0.0084000000","USD","Load Balancer-Application","AWSELB","EU (London)","AWS Region","ELB:Balancing","Used Application Load Balancer capacity units-hr","EUW2-LCUUsage","LoadBalancing:Application","eu-west-2","Elastic Load Balancing"
"KACNQX3Z29TJRNXK","JRTCKXETXF","KACNQX3Z29TJRNXK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per LCU-Hrs for Outposts-LCUUsage:LoadBalancing:Application in EU (London)","2026-08-01","0","Inf","LCU-Hrs","0.0000000000","USD","Load Balancer-Application","AWSELB","EU (London)","AWS Outposts","ELB:Balancing","Used Application Load Balancer capacity On Outposts units-hr","EUW2-Outposts-LCUUsage","LoadBalancing:Application","eu-west-2","Elastic Load Balancing"
"ND2VPDBBXJT9BJ8J","JRTCKXETXF","ND2VPDBBXJT9BJ8J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0084 per reserved Application load balancer capacity unit-hour","2026-08-01","0","Inf","ReservedLCU-Hr","0.0084000000","USD","Load Balancer-Application","AWSELB","EU (London)","AWS Region","ELB:Balancing","Reserved Application Load Balancer capacity units-hr","EUW2-ReservedLCUUsage","LoadBalancing:Application","eu-west-2","Elastic Load Balancing"
"QSWHNGUEGEPBSPC6","JRTCKXETXF","QSWHNGUEGEPBSPC6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02646 per Network LoadBalancer-hour (or partial hour)","2026-08-01","0","Inf","Hrs","0.0264600000","USD","Load Balancer-Network","AWSELB","EU (London)","AWS Region","ELB:Balancing","LoadBalancer hourly usage by Network Load Balancer","EUW2-LoadBalancerUsage","LoadBalancing:Network","eu-west-2","Elastic Load Balancing"
"RKNMJZBV5F2X3TAU","JRTCKXETXF","RKNMJZBV5F2X3TAU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0147 per Gateway LoadBalancer-hour (or partial hour) in EU (London)","2026-08-01","0","Inf","Hrs","0.0147000000","USD","Load Balancer-Gateway","AWSELB","EU (London)","AWS Region","ELB:Balancing","LoadBalancer hourly usage by Gateway Load Balancer","EUW2-LoadBalancerUsage","LoadBalancing:Gateway","eu-west-2","Elastic Load Balancing"
