"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-08-31T09:22:55Z"
"Version","20260831092255"
"OfferCode","AWSELB"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"37CUWUT8GSNQEPUV","JRTCKXETXF","37CUWUT8GSNQEPUV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0225 per Application LoadBalancer-hour (or partial hour)","2026-08-01","0","Inf","Hrs","0.0225000000","USD","Load Balancer-Application","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","LoadBalancer hourly usage by Application Load Balancer","LoadBalancerUsage","LoadBalancing:Application","us-east-1","Elastic Load Balancing"
"4XCKHVEY2F7FVHE3","JRTCKXETXF","4XCKHVEY2F7FVHE3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per Gateway LoadBalancer-hour (or partial hour) US East (N. Virginia)","2026-08-01","0","Inf","Hrs","0.0125000000","USD","Load Balancer-Gateway","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","LoadBalancer hourly usage by Gateway Load Balancer","LoadBalancerUsage","LoadBalancing:Gateway","us-east-1","Elastic Load Balancing"
"6XT9C7FFNQ3T39YK","JRTCKXETXF","6XT9C7FFNQ3T39YK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.025 per LoadBalancer-hour (or partial hour)","2026-08-01","0","Inf","Hrs","0.0250000000","USD","Load Balancer","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","LoadBalancer hourly usage by Classic Load Balancer","LoadBalancerUsage","LoadBalancing","us-east-1","Elastic Load Balancing"
"9AHXFTCYGJPK28YN","JRTCKXETXF","9AHXFTCYGJPK28YN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.004 per ReservedLCU-Hr gateway load balancer capacity unit-hour","2026-08-01","0","Inf","ReservedLCU-Hr","0.0040000000","USD","Load Balancer-Gateway","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","Reserved Gateway Load Balancer capacity units-hr","ReservedLCUUsage","LoadBalancing:Gateway","us-east-1","Elastic Load Balancing"
"AS5EPCYNHYT9UZEZ","JRTCKXETXF","AS5EPCYNHYT9UZEZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.006 per reserved Network load balancer capacity unit-hour","2026-08-01","0","Inf","ReservedLCU-Hr","0.0060000000","USD","Load Balancer-Network","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","Reserved Network Load Balancer capacity units-hr","ReservedLCUUsage","LoadBalancing:Network","us-east-1","Elastic Load Balancing"
"CP5ZUMA7RSCUNUVK","JRTCKXETXF","CP5ZUMA7RSCUNUVK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per reserved application load balancer capacity unit-hour","2026-08-01","0","Inf","ReservedLCU-Hr","0.0080000000","USD","Load Balancer-Application","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","Reserved Application Load Balancer capacity units-hr","ReservedLCUUsage","LoadBalancing:Application","us-east-1","Elastic Load Balancing"
"EBFBY6XVZMVA2MJP","JRTCKXETXF","EBFBY6XVZMVA2MJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0040 per used Gateway load balancer capacity unit-hour (or partial hour) in US East (N. Virginia)","2026-08-01","0","Inf","LCU-Hrs","0.0040000000","USD","Load Balancer-Gateway","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","Used Gateway Load Balancer capacity units-hr","LCUUsage","LoadBalancing:Gateway","us-east-1","Elastic Load Balancing"
"NZE73RYFQ8ZCZ553","JRTCKXETXF","NZE73RYFQ8ZCZ553.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per GB Data Processed by the LoadBalancer","2026-08-01","0","Inf","GB","0.0080000000","USD","Load Balancer","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","Data processed by Classic Load Balancer","DataProcessing-Bytes","LoadBalancing","us-east-1","Elastic Load Balancing"
"P2XGEJ8N3KU52WA8","JRTCKXETXF","P2XGEJ8N3KU52WA8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per used Application load balancer capacity unit-hour (or partial hour)","2026-08-01","0","Inf","LCU-Hrs","0.0080000000","USD","Load Balancer-Application","AWSELB","US East (N. Virginia)","AWS Region","ELB:Balancing","Used Application Load Balancer capacity units-hr","LCUUsage","LoadBalancing:Application","us-east-1","Elastic Load Balancing"
"P8UHXAWNGFFB3K8T","JRTCKXETXF","P8UHXAWNGFFB3K8T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per LCU-Hrs for Outposts-LCUUsage:LoadBalancing:Application in US East (N. Virginia)","2026-08-01","0","Inf","LCU-Hrs","0.0000000000","USD","Load Balancer-Application","AWSELB","US East (N. Virginia)","AWS Outposts","ELB:Balancing","Used Application Load Balancer capacity On Outposts units-hr","Outposts-LCUUsage","LoadBalancing:Application","us-east-1","Elastic Load Balancing"
