"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-08-31T09:23:18Z"
"Version","20260831092318"
"OfferCode","AWSLambda"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Lambda Managed Instances - Request Type","Lambda Managed Instance Type","Region Code","serviceName"
"4VCGJ7EG8PJVZG7S","A429C66SYZ","4VCGJ7EG8PJVZG7S.A429C66SYZ.KJYPJPDD2A","OnDemand","AWS Lambda - Compute Free Tier - 400,000 GB-Seconds","2026-08-01","0","400000","Lambda-GB-Second","0.0000000000","USD",,"Serverless","AWSLambda","Any","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","Global-Lambda-GB-Second","",,,"","AWS Lambda"
"6DB7ZBYMK456XGDS","JRTCKXETXF","6DB7ZBYMK456XGDS.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Provisioned Concurrency - EU (London)","2026-08-01","0","Inf","Lambda-GB-Second","0.0000048304","USD",,"Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Provisioned-Concurrency","Concurrency weighted by memory assigned to function over the period for which it is provisioned, measured in GB-s","EUW2-Lambda-Provisioned-Concurrency","",,,"eu-west-2","AWS Lambda"
"7BHKT53JPBA3QEXX","JRTCKXETXF","7BHKT53JPBA3QEXX.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda Edge - Total Requests - EU (London)","2026-08-01","0","Inf","Request","0.0000006000","USD",,"Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Edge-Requests","Invocation call for a Lambda function","EUW2-Lambda-Edge-Request","",,,"eu-west-2","AWS Lambda"
"D4TPQYY66DKTZWX9","JRTCKXETXF","D4TPQYY66DKTZWX9.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Total Requests for ARM - EU (London)","2026-08-01","0","Inf","Requests","0.0000002000","USD","ZQVCC2M69R4S79XS","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Requests-ARM","Invocation call for a Lambda function for ARM","EUW2-Request-ARM","",,,"eu-west-2","AWS Lambda"
"G6YBNWBZKX2HWXPN","JRTCKXETXF","G6YBNWBZKX2HWXPN.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda Edge - Total Compute - EU (London)","2026-08-01","0","Inf","Lambda-GB-Second","0.0000500100","USD",,"Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Edge-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","EUW2-Lambda-Edge-GB-Second","",,,"eu-west-2","AWS Lambda"
"N5RQX23Q92PY74R5","JRTCKXETXF","N5RQX23Q92PY74R5.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Ephemeral Storage - EU (London)","2026-08-01","0","Inf","GB-Seconds","0.0000000358","USD",,"Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Storage-Duration","Invocation duration weighted by ephemeral storage assigned to function, measured in GB-s","EUW2-Lambda-Storage-GB-Second","",,,"eu-west-2","AWS Lambda"
"NDYBVXT3KB548Z2A","JRTCKXETXF","NDYBVXT3KB548Z2A.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Total Requests - EU (London)","2026-08-01","0","Inf","Request","0.0000002000","USD","ZQVCC2M69R4S79XS","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Requests","Invocation call for a Lambda function","EUW2-Request","",,,"eu-west-2","AWS Lambda"
"RP9RSZYUC96SQ4G2","JRTCKXETXF","RP9RSZYUC96SQ4G2.JRTCKXETXF.CUKFZ388N3","OnDemand","AWS Lambda - Total Compute - EU (London)-Tier-1","2026-08-01","0","6000000000","Lambda-GB-Second","0.0000166667","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","EUW2-Lambda-GB-Second","",,,"eu-west-2","AWS Lambda"
"RP9RSZYUC96SQ4G2","JRTCKXETXF","RP9RSZYUC96SQ4G2.JRTCKXETXF.QZE2SB4KVB","OnDemand","AWS Lambda - Total Compute - EU (London)-Tier-2","2026-08-01","6000000000","15000000000","Lambda-GB-Second","0.0000150000","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","EUW2-Lambda-GB-Second","",,,"eu-west-2","AWS Lambda"
"RP9RSZYUC96SQ4G2","JRTCKXETXF","RP9RSZYUC96SQ4G2.JRTCKXETXF.V7R92EXG27","OnDemand","AWS Lambda - Total Compute - EU (London)-Tier-3","2026-08-01","15000000000","Inf","Lambda-GB-Second","0.0000133334","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","EUW2-Lambda-GB-Second","",,,"eu-west-2","AWS Lambda"
"VGMFG9KJ58Z2FK83","JRTCKXETXF","VGMFG9KJ58Z2FK83.JRTCKXETXF.6NBUNBXSC3","OnDemand","AWS Lambda - Total Compute for ARM - EU (London)-Tier-1","2026-08-01","0","7500000000","Lambda-GB-Second","0.0000133334","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Duration-ARM","Invocation duration weighted by memory assigned to function, measured in GB-s for ARM","EUW2-Lambda-GB-Second-ARM","",,,"eu-west-2","AWS Lambda"
"VGMFG9KJ58Z2FK83","JRTCKXETXF","VGMFG9KJ58Z2FK83.JRTCKXETXF.6JGAYSJBNY","OnDemand","AWS Lambda - Total Compute for ARM - EU (London)-Tier-2","2026-08-01","7500000000","18750000000","Lambda-GB-Second","0.0000120001","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Duration-ARM","Invocation duration weighted by memory assigned to function, measured in GB-s for ARM","EUW2-Lambda-GB-Second-ARM","",,,"eu-west-2","AWS Lambda"
"VGMFG9KJ58Z2FK83","JRTCKXETXF","VGMFG9KJ58Z2FK83.JRTCKXETXF.AVR3V96UTF","OnDemand","AWS Lambda - Total Compute for ARM - EU (London)-Tier-3","2026-08-01","18750000000","Inf","Lambda-GB-Second","0.0000106667","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","EU (London)","AWS Region","AWS-Lambda-Duration-ARM","Invocation duration weighted by memory assigned to function, measured in GB-s for ARM","EUW2-Lambda-GB-Second-ARM","",,,"eu-west-2","AWS Lambda"
"ZQVCC2M69R4S79XS","A429C66SYZ","ZQVCC2M69R4S79XS.A429C66SYZ.SB2VSFF4TP","OnDemand","AWS Lambda - Requests Free Tier - 1,000,000 Requests","2026-08-01","0","1000000","Request","0.0000000000","USD",,"Serverless","AWSLambda","Any","AWS Region","AWS-Lambda-Requests","Invocation call for a Lambda function","Global-Request","",,,"","AWS Lambda"
