"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-08-31T09:21:34Z"
"Version","20260831092134"
"OfferCode","AmazonApiGateway"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","Cache Memory Size (GB)","Region Code","serviceName"
"43R4BMN9UGAUJNJP","JRTCKXETXF","43R4BMN9UGAUJNJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","API Gateway Dedicated Cache: 237GB - EU (London)","2025-11-01","0","Inf","Hrs","3.8000000000","USD","Amazon API Gateway Cache","AmazonApiGateway",,"EU (London)","AWS Region","EUW2-ApiGatewayCacheUsage:237GB","RunInstances","237","eu-west-2","Amazon API Gateway"
"4YW7EQ9JRNYD7SGX","JRTCKXETXF","4YW7EQ9JRNYD7SGX.JRTCKXETXF.6YS6EN2CT7","OnDemand","API Gateway Dedicated Cache: 1.55GB - EU (London)","2025-11-01","0","Inf","Hrs","0.0380000000","USD","Amazon API Gateway Cache","AmazonApiGateway",,"EU (London)","AWS Region","EUW2-ApiGatewayCacheUsage:1.55GB","RunInstances","1.6","eu-west-2","Amazon API Gateway"
"6D5C8TZF2MZR23T2","JRTCKXETXF","6D5C8TZF2MZR23T2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.297/million connection minutes","2025-11-01","0","Inf","minutes","0.0000002970","USD","WebSocket","AmazonApiGateway","WebSocket Connection Minutes","EU (London)","AWS Region","EUW2-ApiGatewayMinute","ApiGatewayWebSocket",,"eu-west-2","Amazon API Gateway"
"DTYB27HD2NY6J9PE","JRTCKXETXF","DTYB27HD2NY6J9PE.JRTCKXETXF.ZN357FEBCK","OnDemand","$1.19/million messages - first 1 billion messages/month","2025-11-01","0","1000000000","Messages","0.0000011900","USD","WebSocket","AmazonApiGateway","WebSocket Messages","EU (London)","AWS Region","EUW2-ApiGatewayMessage","ApiGatewayWebSocket",,"eu-west-2","Amazon API Gateway"
"DTYB27HD2NY6J9PE","JRTCKXETXF","DTYB27HD2NY6J9PE.JRTCKXETXF.AGD8ADSNTG","OnDemand","$0.99/million messages - over 1 billion messages/month","2025-11-01","1000000000","Inf","Messages","0.0000009900","USD","WebSocket","AmazonApiGateway","WebSocket Messages","EU (London)","AWS Region","EUW2-ApiGatewayMessage","ApiGatewayWebSocket",,"eu-west-2","Amazon API Gateway"
"JH5Z3JRFJ2SVCYYT","JRTCKXETXF","JH5Z3JRFJ2SVCYYT.JRTCKXETXF.6YS6EN2CT7","OnDemand","API Gateway Dedicated Cache: 6.05GB - EU (London)","2025-11-01","0","Inf","Hrs","0.2000000000","USD","Amazon API Gateway Cache","AmazonApiGateway",,"EU (London)","AWS Region","EUW2-ApiGatewayCacheUsage:6.05GB","RunInstances","6.1","eu-west-2","Amazon API Gateway"
"K5UP5MV7CDS92WYD","JRTCKXETXF","K5UP5MV7CDS92WYD.JRTCKXETXF.6YS6EN2CT7","OnDemand","API Gateway Dedicated Cache: 58.2GB - EU (London)","2025-11-01","0","Inf","Hrs","1.0000000000","USD","Amazon API Gateway Cache","AmazonApiGateway",,"EU (London)","AWS Region","EUW2-ApiGatewayCacheUsage:58.2GB","RunInstances","58.2","eu-west-2","Amazon API Gateway"
"MFY3FVZZSQWYVNHM","JRTCKXETXF","MFY3FVZZSQWYVNHM.JRTCKXETXF.9NXBCPDZYR","OnDemand","$1.16/million requests - API Gateway HTTP API (first 300 million)","2025-11-01","0","300000000","Requests","0.0000011600","USD","API Calls","AmazonApiGateway","HTTP API Requests","EU (London)","AWS Region","EUW2-ApiGatewayHttpRequest","ApiGatewayHttpApi",,"eu-west-2","Amazon API Gateway"
"MFY3FVZZSQWYVNHM","JRTCKXETXF","MFY3FVZZSQWYVNHM.JRTCKXETXF.Y5DREYKEMT","OnDemand","$1.04/million requests - API Gateway HTTP API (more than 300 million)","2025-11-01","300000000","Inf","Requests","0.0000010400","USD","API Calls","AmazonApiGateway","HTTP API Requests","EU (London)","AWS Region","EUW2-ApiGatewayHttpRequest","ApiGatewayHttpApi",,"eu-west-2","Amazon API Gateway"
"Q2DQZVEXAMHHRAQQ","JRTCKXETXF","Q2DQZVEXAMHHRAQQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","API Gateway Dedicated Cache: 118GB - EU (London)","2025-11-01","0","Inf","Hrs","1.9000000000","USD","Amazon API Gateway Cache","AmazonApiGateway",,"EU (London)","AWS Region","EUW2-ApiGatewayCacheUsage:118GB","RunInstances","118","eu-west-2","Amazon API Gateway"
