"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-08-31T09:21:55Z"
"Version","20260831092155"
"OfferCode","AmazonECS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Tenancy","Operating System","usageType","operation","CPU Architecture","CPUType","External Instance Type","MemoryType","Region Code","Resource","serviceName","StorageType"
"CQD5CYFVV72B3ZHP","JRTCKXETXF","CQD5CYFVV72B3ZHP.JRTCKXETXF.4TES4JTS8Q","OnDemand","$0 per hour for ECS-Anywhere-Instance-Hours","2026-07-01","0","2200","hours","0.0000000000","USD","Compute","AmazonECS","EU (London)","AWS Region",,,,"EUW2-ECS-Anywhere-Instance-hours-WithFree","AddExternalInstance",,,"With Free",,"eu-west-2",,"Amazon Elastic Container Service",
"CQD5CYFVV72B3ZHP","JRTCKXETXF","CQD5CYFVV72B3ZHP.JRTCKXETXF.2A2Z7VTUXW","OnDemand","$0.01025 per hour for ECS-Anywhere-Instance-Hours","2026-07-01","2200","Inf","hours","0.0102500000","USD","Compute","AmazonECS","EU (London)","AWS Region",,,,"EUW2-ECS-Anywhere-Instance-hours-WithFree","AddExternalInstance",,,"With Free",,"eu-west-2",,"Amazon Elastic Container Service",
"G265XVYY5YDS48U6","JRTCKXETXF","G265XVYY5YDS48U6.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - vCPU  - EU (London)","2026-07-01","0","Inf","hours","0.0465600000","USD","Compute","AmazonECS","EU (London)","AWS Region",,"Shared",,"EUW2-Fargate-vCPU-Hours:perCPU","",,"perCPU",,,"eu-west-2",,"Amazon Elastic Container Service",
"JFM8TVWRQ6J6BUY7","JRTCKXETXF","JFM8TVWRQ6J6BUY7.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Windows - Memory  - EU (London)","2026-07-01","0","Inf","hours","0.0058765000","USD","Compute","AmazonECS","EU (London)","AWS Region",,"Shared","Windows","EUW2-Fargate-Windows-GB-Hours","",,,,"perGB","eu-west-2","per GB per hour","Amazon Elastic Container Service",
"JPX9CCYJS97M953T","JRTCKXETXF","JPX9CCYJS97M953T.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Memory  - EU (London)","2026-07-01","0","Inf","hours","0.0051100000","USD","Compute","AmazonECS","EU (London)","AWS Region",,"Shared",,"EUW2-Fargate-GB-Hours","",,,,"perGB","eu-west-2",,"Amazon Elastic Container Service",
"MNPE4XE52USH274T","JRTCKXETXF","MNPE4XE52USH274T.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Ephemeral Storage - EU (London)","2026-07-01","0","Inf","GB-Hours","0.0001290000","USD","Compute","AmazonECS","EU (London)","AWS Region",,,,"EUW2-Fargate-EphemeralStorage-GB-Hours","",,,,,"eu-west-2",,"Amazon Elastic Container Service","default"
"RGTG6HHGJS47ZPVV","JRTCKXETXF","RGTG6HHGJS47ZPVV.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Windows - OS  - EU (London)","2026-07-01","0","Inf","hours","0.0460000000","USD","Compute","AmazonECS","EU (London)","AWS Region",,"Shared","Windows","EUW2-Fargate-Windows-OS-Hours:perCPU","",,"perCPU OS License Fee",,,"eu-west-2","OS License Fee per vCPU per hour","Amazon Elastic Container Service",
"VX9PCZZ3MPBM4796","JRTCKXETXF","VX9PCZZ3MPBM4796.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Windows - vCPU  - EU (London)","2026-07-01","0","Inf","hours","0.0535440000","USD","Compute","AmazonECS","EU (London)","AWS Region",,"Shared","Windows","EUW2-Fargate-Windows-vCPU-Hours:perCPU","",,"perCPU",,,"eu-west-2","per vCPU per hour","Amazon Elastic Container Service",
"YEJBN6TMUWD8EV8P","JRTCKXETXF","YEJBN6TMUWD8EV8P.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - ARM - vCPU - EU (London)","2026-07-01","0","Inf","hours","0.0372500000","USD","Compute","AmazonECS","EU (London)","AWS Region",,"Shared",,"EUW2-Fargate-ARM-vCPU-Hours:perCPU","","ARM","perCPU",,,"eu-west-2","per vCPU per hour","Amazon Elastic Container Service",
"ZHQV69PSVX9PGWTQ","JRTCKXETXF","ZHQV69PSVX9PGWTQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - ARM - Memory - EU (London)","2026-07-01","0","Inf","hours","0.0040900000","USD","Compute","AmazonECS","EU (London)","AWS Region",,"Shared",,"EUW2-Fargate-ARM-GB-Hours","","ARM",,,"perGB","eu-west-2","per GB per hour","Amazon Elastic Container Service",
