"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-09-03T18:39:02Z"
"Version","20260903183902"
"OfferCode","AmazonElastiCache"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Transfer Type","usageType","operation","Normalization Size Factor","Region Code","serviceName","Year_Number"
"24VV8FH5PUZ99KQM","JRTCKXETXF","24VV8FH5PUZ99KQM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.029 per Hr for ExtendedSupportYr3-NodeUsage:cache.t4g.micro in EU (London)","2026-09-01","0","Inf","Hrs","0.0290000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t4g.micro",,,,,,"Redis",,,"EUW2-ExtendedSupportYr3-NodeUsage:cache.t4g.micro","CreateCacheCluster:0002",,"eu-west-2","Amazon ElastiCache","Yr3"
"26MK797RPSSA8RRR","JRTCKXETXF","26MK797RPSSA8RRR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.115 per Hr for ExtendedSupportYr3-NodeUsage:cache.t4g.medium in EU (London)","2026-09-01","0","Inf","Hrs","0.1150000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t4g.medium",,,,,,"Redis",,,"EUW2-ExtendedSupportYr3-NodeUsage:cache.t4g.medium","CreateCacheCluster:0002",,"eu-west-2","Amazon ElastiCache","Yr3"
"4YGKJ5AQHGNC36DR","JRTCKXETXF","4YGKJ5AQHGNC36DR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.058 per Hr for ExtendedSupportYr1_Yr2-NodeUsage:cache.t4g.medium in EU (London)","2026-09-01","0","Inf","Hrs","0.0580000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t4g.medium",,,,,,"Redis",,,"EUW2-ExtendedSupportYr1_Yr2-NodeUsage:cache.t4g.medium","CreateCacheCluster:0002",,"eu-west-2","Amazon ElastiCache","Yr1_Yr2"
"57NHQQAB3DM6VWDT","JRTCKXETXF","57NHQQAB3DM6VWDT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.072 per T4G Medium Cache node-hour (or partial hour) running Redis","2026-09-01","0","Inf","Hrs","0.0720000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t4g.medium","Yes","Standard","2","3.09 GiB","Up to 5 Gigabit","Redis",,,"EUW2-NodeUsage:cache.t4g.medium","CreateCacheCluster:0002","2","eu-west-2","Amazon ElastiCache",
"6CSG3C6MWPJUFWRB","JRTCKXETXF","6CSG3C6MWPJUFWRB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.072 per T4G Medium Cache node-hour (or partial hour) running Memcached","2026-09-01","0","Inf","Hrs","0.0720000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t4g.medium","Yes","Standard","2","3.09 GiB","Up to 5 Gigabit","Memcached",,,"EUW2-NodeUsage:cache.t4g.medium","CreateCacheCluster:0001","2","eu-west-2","Amazon ElastiCache",
"AB2C3TZTZR5WDA7N","JRTCKXETXF","AB2C3TZTZR5WDA7N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0144 per T4G Micro Cache node-hour (or partial hour) running Valkey","2026-09-01","0","Inf","Hrs","0.0144000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t4g.micro","Yes","Standard","2","0.5 GiB","Up to 5 Gigabit","Valkey",,,"EUW2-NodeUsage:cache.t4g.micro","CreateCacheCluster:Valkey","0.4","eu-west-2","Amazon ElastiCache",
"BKYAPCV9QZBA3K54","JRTCKXETXF","BKYAPCV9QZBA3K54.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.014 per Hr for ExtendedSupportYr1_Yr2-NodeUsage:cache.t4g.micro in EU (London)","2026-09-01","0","Inf","Hrs","0.0140000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t4g.micro",,,,,,"Redis",,,"EUW2-ExtendedSupportYr1_Yr2-NodeUsage:cache.t4g.micro","CreateCacheCluster:0002",,"eu-west-2","Amazon ElastiCache","Yr1_Yr2"
"H2RNJEMWGWURWZ6W","JRTCKXETXF","H2RNJEMWGWURWZ6W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0369 per Hr for SyncDurability-NodeUsage:cache.r7g.large in EU (London)","2026-09-01","0","Inf","Hrs","0.0369000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.r7g.large",,,,,,"Valkey",,,"EUW2-SyncDurability-NodeUsage:cache.r7g.large","CreateCacheCluster:Valkey",,"eu-west-2","Amazon ElastiCache",
"JBYFTYHFEWT53H5U","JRTCKXETXF","JBYFTYHFEWT53H5U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.256 per Memory optimized r7g.large node hour running  Redis","2026-09-01","0","Inf","Hrs","0.2560000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.r7g.large","Yes","Memory optimized","2","13.07 GiB","Up to 12.5 Gigabit","Redis",,,"EUW2-NodeUsage:cache.r7g.large","CreateCacheCluster:0002","4","eu-west-2","Amazon ElastiCache",
"JT85R69535YECW6Q","JRTCKXETXF","JT85R69535YECW6Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.41 per Hr for ExtendedSupportYr3-NodeUsage:cache.r7g.large in EU (London)","2026-09-01","0","Inf","Hrs","0.4100000000","USD",,,,"Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.r7g.large",,,,,,"Redis",,,"EUW2-ExtendedSupportYr3-NodeUsage:cache.r7g.large","CreateCacheCluster:0002",,"eu-west-2","Amazon ElastiCache","Yr3"
