"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-09-04T17:27:16Z"
"Version","20260904172716"
"OfferCode","AmazonRDS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Physical Processor","Clock Speed","Memory","Storage","Network Performance","Processor Architecture","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","Database Edition","License Model","Deployment Option","Group","Group Description","usageType","operation","ACU","Dedicated EBS Throughput","Deployment Model","Engine Major Version","Engine Media Type","Enhanced Networking Supported","Extended Support Pricing Year","Instance Type Family","Normalization Size Factor","Processor Features","Region Code","serviceName","Unbundled Licensing","Volume Name","WindowsLicenseMultiplier"
"6HF7KFPVFEAGXYR3","JRTCKXETXF","6HF7KFPVFEAGXYR3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.018 per RDS db.t4g.micro Single-AZ instance hour (or partial hour) running MySQL","2026-09-01","0","Inf","Hrs","0.0180000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.micro","Yes","General purpose","2","AWS Graviton2",,"1 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"2","MySQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t4g.micro","CreateDBInstance:0002",,,,,,,,"T4G","0.5",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"8K2BMX8QNA6BX4XU","JRTCKXETXF","8K2BMX8QNA6BX4XU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.251 per RDS db.r6g.large Single-AZ instance hour (or partial hour) running MySQL","2026-09-01","0","Inf","Hrs","0.2510000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.r6g.large","Yes","Memory optimized","2","AWS Graviton2",,"16 GiB","EBS Only","Up to 10 Gigabit","64-bit",,,,,"2","MySQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.r6g.large","CreateDBInstance:0002",,,,,,,,"R6G","4",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"ATYF9R3XTURNBSMZ","JRTCKXETXF","ATYF9R3XTURNBSMZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.018 per RDS db.t4g.micro Single-AZ instance hour (or partial hour) running PostgreSQL","2026-09-01","0","Inf","Hrs","0.0180000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.micro","Yes","General purpose","2","AWS Graviton2",,"1 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t4g.micro","CreateDBInstance:0014",,,,,,,,"T4G","0.5",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"D4PD3WMETNDAM8KK","JRTCKXETXF","D4PD3WMETNDAM8KK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.036 per RDS db.t4g.micro Multi-AZ instance hour (or partial hour) running PostgreSQL","2026-09-01","0","Inf","Hrs","0.0360000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.micro","Yes","General purpose","2","AWS Graviton2",,"1 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Multi-AZ",,,"EUW2-Multi-AZUsage:db.t4g.micro","CreateDBInstance:0014",,,,,,,,"T4G","1",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"H6U5RNXSENY7QJ2W","JRTCKXETXF","H6U5RNXSENY7QJ2W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.072 per RDS db.t4g.medium Single-AZ instance hour (or partial hour) running PostgreSQL","2026-09-01","0","Inf","Hrs","0.0720000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.medium","Yes","General purpose","2","AWS Graviton2",,"4 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t4g.medium","CreateDBInstance:0014",,,,,,,,"T4G","2",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"N88PGASTNXFMA6W9","JRTCKXETXF","N88PGASTNXFMA6W9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.266 per GB-month of provisioned gp2 storage for Multi-AZ deployments running MySQL","2026-09-01","0","Inf","GB-Mo","0.2660000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"SSD","General Purpose","5 GB","16 TB","2","MySQL",,,"Multi-AZ",,,"EUW2-RDS:Multi-AZ-GP2-Storage","CreateDBInstance:0002",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"P4BR9MYSTR2MBPJP","JRTCKXETXF","P4BR9MYSTR2MBPJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.036 per RDS db.t4g.micro Multi-AZ instance hour (or partial hour) running MySQL","2026-09-01","0","Inf","Hrs","0.0360000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.micro","Yes","General purpose","2","AWS Graviton2",,"1 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"2","MySQL",,"No license required","Multi-AZ",,,"EUW2-Multi-AZUsage:db.t4g.micro","CreateDBInstance:0002",,,,,,,,"T4G","1",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"PZVP4J3D7PPCQTFM","JRTCKXETXF","PZVP4J3D7PPCQTFM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.529 per RDS db.r6g.large Multi-AZ instance hour (or partial hour) running PostgreSQL","2026-09-01","0","Inf","Hrs","0.5290000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.r6g.large","Yes","Memory optimized","2","AWS Graviton2",,"16 GiB","EBS Only","Up to 10 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Multi-AZ",,,"EUW2-Multi-AZUsage:db.r6g.large","CreateDBInstance:0014",,,,,,,,"R6G","8",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"QKPB395YS55V9XCT","JRTCKXETXF","QKPB395YS55V9XCT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.133 per GB-month of provisioned gp2 storage running MySQL","2026-09-01","0","Inf","GB-Mo","0.1330000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"SSD","General Purpose","5 GB","16 TB","2","MySQL",,,"Single-AZ",,,"EUW2-RDS:GP2-Storage","CreateDBInstance:0002",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"TUF3H9GGSBC4EE4J","JRTCKXETXF","TUF3H9GGSBC4EE4J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.501 per RDS db.r6g.large Multi-AZ instance hour (or partial hour) running MySQL","2026-09-01","0","Inf","Hrs","0.5010000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.r6g.large","Yes","Memory optimized","2","AWS Graviton2",,"16 GiB","EBS Only","Up to 10 Gigabit","64-bit",,,,,"2","MySQL",,"No license required","Multi-AZ",,,"EUW2-Multi-AZUsage:db.r6g.large","CreateDBInstance:0002",,,,,,,,"R6G","8",,"eu-west-2","Amazon Relational Database Service","FALSE",,
