"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-08-31T09:22:25Z"
"Version","20260831092225"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability","From Region Code","Overhead","Region Code","serviceName","To Region Code"
"3D99223WSVTX96UP","JRTCKXETXF","3D99223WSVTX96UP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per 10,000 GET and all other requests","2026-08-01","0","Inf","Requests","0.0000004200","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-Tier2","GET and all other requests",,,,,,"EUW2-Requests-Tier2","",,,,"eu-west-2","Amazon Simple Storage Service",
"8SCQPNWUG2ARU94Q","JRTCKXETXF","8SCQPNWUG2ARU94Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0053 per 1,000 Tier1 Annotation Requests","2026-08-01","0","Inf","Requests","0.0000053000","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-Tier1","Tier1 Annotation Requests",,,,,,"EUW2-Requests-Annotation-Tier1","",,,,"eu-west-2","Amazon Simple Storage Service",
"CXT6934AJ2W6U8P9","JRTCKXETXF","CXT6934AJ2W6U8P9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0053 per 1,000 PUT, COPY, POST, or LIST requests","2026-08-01","0","Inf","Requests","0.0000053000","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-Tier1","PUT/COPY/POST or LIST requests",,,,,,"EUW2-Requests-Tier1","",,,,"eu-west-2","Amazon Simple Storage Service",
"DV3FSFEQ3QM4J6VP","JRTCKXETXF","DV3FSFEQ3QM4J6VP.JRTCKXETXF.PGHJ3S3EYE","OnDemand","$0.024 per GB - first 50 TB / month of storage used","2026-08-01","0","51200","GB-Mo","0.0240000000","USD","Storage","AmazonS3","EU (London)","AWS Region","99.99%","General Purpose","Standard",,,,,,,,,,"EUW2-TimedStorage-ByteHrs","","99.999999999%",,,"eu-west-2","Amazon Simple Storage Service",
"DV3FSFEQ3QM4J6VP","JRTCKXETXF","DV3FSFEQ3QM4J6VP.JRTCKXETXF.D42MF2PVJS","OnDemand","$0.023 per GB - next 450 TB / month of storage used","2026-08-01","51200","512000","GB-Mo","0.0230000000","USD","Storage","AmazonS3","EU (London)","AWS Region","99.99%","General Purpose","Standard",,,,,,,,,,"EUW2-TimedStorage-ByteHrs","","99.999999999%",,,"eu-west-2","Amazon Simple Storage Service",
"DV3FSFEQ3QM4J6VP","JRTCKXETXF","DV3FSFEQ3QM4J6VP.JRTCKXETXF.PXJDJ3YRG3","OnDemand","$0.022 per GB - storage used / month over 500 TB","2026-08-01","512000","Inf","GB-Mo","0.0220000000","USD","Storage","AmazonS3","EU (London)","AWS Region","99.99%","General Purpose","Standard",,,,,,,,,,"EUW2-TimedStorage-ByteHrs","","99.999999999%",,,"eu-west-2","Amazon Simple Storage Service",
"EAYEADBSMCNTSTK7","JRTCKXETXF","EAYEADBSMCNTSTK7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00042 per 1,000 Tier2 Annotation Requests","2026-08-01","0","Inf","Requests","0.0000004200","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-Tier2","Tier2 Annotation Requests",,,,,,"EUW2-Requests-Annotation-Tier2","",,,,"eu-west-2","Amazon Simple Storage Service",
"KF6P9DHJVYBPU5E2","JRTCKXETXF","KF6P9DHJVYBPU5E2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per 1,000 - Bulk Glacier requests","2026-08-01","0","Inf","Requests","0.0000000000","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-Tier5","Bulk Glacier Restore Requests",,,,,,"EUW2-Requests-Tier5","",,,,"eu-west-2","Amazon Simple Storage Service",
"TQ5A427P8BAECEDF","JRTCKXETXF","TQ5A427P8BAECEDF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000 PUT, COPY, POST or LIST requests to Standard-Infrequent Access","2026-08-01","0","Inf","Requests","0.0000100000","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-SIA-Tier1","PUT/COPY/POST or LIST requests to Standard-Infrequent Access",,,,,,"EUW2-Requests-SIA-Tier1","",,,,"eu-west-2","Amazon Simple Storage Service",
"V529TS7WQDMBA59P","JRTCKXETXF","V529TS7WQDMBA59P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.024 per GB-Mo of Storage in Annotations ","2026-08-01","0","Inf","GB-Mo","0.0240000000","USD","Storage","AmazonS3","EU (London)","AWS Region",,"General Purpose","Annotations",,,,,,,,,,"EUW2-Annotation-TimedStorage-ByteHrs","",,,,"eu-west-2","Amazon Simple Storage Service",
